gene_name,S,G2M
KIF20B,False,True
POLA1,True,False
HMMR,False,True
HJURP,False,True
TYMS,True,False
MCM7,True,False
MSH2,True,False
CDC6,True,False
PSRC1,False,True
UNG,True,False
UBE2C,False,True
TPX2,False,True
CDK1,False,True
AURKA,False,True
SLBP,True,False
CDCA7,True,False
ANLN,False,True
WDR76,True,False
CENPA,False,True
E2F8,True,False
CENPF,False,True
CKAP2L,False,True
UBR7,True,False
UHRF1,True,False
NASP,True,False
TACC3,False,True
USP1,True,False
BUB1,False,True
CDC20,False,True
CASP8AP2,True,False
TUBB4B,False,True
LBR,False,True
MCM6,True,False
HELLS,True,False
KIF23,False,True
TIPIN,True,False
NUSAP1,False,True
RAD51,True,False
CKAP5,False,True
TTK,False,True
AURKB,False,True
CENPU,True,False
DLGAP5,False,True
NUF2,False,True
PIMREG,False,True
JPT1,False,True
CDC45,True,False
BLM,True,False
KIF2C,False,True
DTL,True,False
GINS2,True,False
MKI67,False,True
RAD51AP1,True,False
RANGAP1,False,True
CBX5,False,True
RRM2,True,False
CKAP2,False,True
CCNE2,True,False
CDCA3,False,True
PCNA,True,False
MRPL36,True,False
TMPO,False,True
ATAD2,True,False
POLD3,True,False
EXO1,True,False
POLR1B,True,False
CDCA2,False,True
CKS2,False,True
GTSE1,False,True
G2E3,False,True
CDCA8,False,True
CKS1B,False,True
DSCC1,True,False
BIRC5,False,True
GAS2L3,False,True
MCM5,True,False
CCNB2,False,True
ANP32E,False,True
KIF11,False,True
CHAF1B,True,False
CENPE,False,True
TOP2A,False,True
GMNN,True,False
RFC2,True,False
NDC80,False,True
ECT2,False,True
CLSPN,True,False
MCM4,True,False
FEN1,True,False
NEK2,False,True
RRM1,True,False
CTCF,False,True
SMC4,False,True
HMGB2,False,True
CDC25C,False,True
NCAPD2,False,True
PRIM1,True,False
